,County,Candidate,Party,Share,Votes
361,LYCOMING,"NICHOLS, CAROLYN H",DEM,7.67%,"4,986"
362,LYCOMING,"KUNSELMAN, DEBORAH ANNE",DEM,8.43%,"5,483"
363,LYCOMING,"MOULTON, H GEOFFREY JR",DEM,6.63%,"4,313"
364,LYCOMING,"STEDMAN, CRAIG",REP,16.99%,"11,050"
365,LYCOMING,"GIORDANO, EMIL",REP,16.63%,"10,815"
366,LYCOMING,"KAGARISE, WADE ALAN",REP,15.87%,"10,317"
367,LYCOMING,"MURRAY, MARY P",REP,17.56%,"11,416"
368,LYCOMING,"MERMELSTEIN, JULES",GRN,1.33%,868
369,McKEAN,"MCLAUGHLIN, MARIA",DEM,7.81%,"1,484"
370,McKEAN,"NICHOLS, CAROLYN H",DEM,7.27%,"1,382"
371,McKEAN,"KUNSELMAN, DEBORAH ANNE",DEM,7.76%,"1,475"
372,McKEAN,"MOULTON, H GEOFFREY JR",DEM,6.17%,"1,172"
373,McKEAN,"STEDMAN, CRAIG",REP,17.41%,"3,308"
374,McKEAN,"GIORDANO, EMIL",REP,17.36%,"3,298"
375,McKEAN,"KAGARISE, WADE ALAN",REP,16.48%,"3,131"
376,McKEAN,"MURRAY, MARY P",REP,18.13%,"3,445"
377,McKEAN,"MERMELSTEIN, JULES",GRN,1.62%,307
378,MERCER,"MCLAUGHLIN, MARIA",DEM,11.47%,"7,764"
379,MERCER,"NICHOLS, CAROLYN H",DEM,10.81%,"7,316"
380,MERCER,"KUNSELMAN, DEBORAH ANNE",DEM,11.55%,"7,818"
381,MERCER,"MOULTON, H GEOFFREY JR",DEM,9.61%,"6,499"
382,MERCER,"STEDMAN, CRAIG",REP,14.00%,"9,472"
383,MERCER,"GIORDANO, EMIL",REP,13.72%,"9,285"
384,MERCER,"KAGARISE, WADE ALAN",REP,12.95%,"8,761"
385,MERCER,"MURRAY, MARY P",REP,14.36%,"9,713"
386,MERCER,"MERMELSTEIN, JULES",GRN,1.53%,"1,033"
387,MIFFLIN,"MCLAUGHLIN, MARIA",DEM,8.06%,"1,713"
388,MIFFLIN,"NICHOLS, CAROLYN H",DEM,6.66%,"1,417"
389,MIFFLIN,"KUNSELMAN, DEBORAH ANNE",DEM,7.19%,"1,528"
390,MIFFLIN,"MOULTON, H GEOFFREY JR",DEM,5.42%,"1,152"
391,MIFFLIN,"STEDMAN, CRAIG",REP,18.51%,"3,936"
392,MIFFLIN,"GIORDANO, EMIL",REP,16.52%,"3,513"
393,MIFFLIN,"KAGARISE, WADE ALAN",REP,17.20%,"3,657"
394,MIFFLIN,"MURRAY, MARY P",REP,18.85%,"4,009"
395,MIFFLIN,"MERMELSTEIN, JULES",GRN,1.59%,338
396,MONROE,"MCLAUGHLIN, MARIA",DEM,13.47%,"10,785"
397,MONROE,"NICHOLS, CAROLYN H",DEM,12.32%,"9,869"
398,MONROE,"KUNSELMAN, DEBORAH ANNE",DEM,12.91%,"10,340"
399,MONROE,"MOULTON, H GEOFFREY JR",DEM,11.36%,"9,098"
400,MONROE,"STEDMAN, CRAIG",REP,11.93%,"9,554"
401,MONROE,"GIORDANO, EMIL",REP,12.71%,"10,176"
402,MONROE,"KAGARISE, WADE ALAN",REP,11.44%,"9,161"
403,MONROE,"MURRAY, MARY P",REP,12.65%,"10,130"
404,MONROE,"MERMELSTEIN, JULES",GRN,1.20%,963
405,MONTGOMERY,"MCLAUGHLIN, MARIA",DEM,15.29%,"98,343"
406,MONTGOMERY,"NICHOLS, CAROLYN H",DEM,15.16%,"97,526"
407,MONTGOMERY,"KUNSELMAN, DEBORAH ANNE",DEM,15.44%,"99,356"
408,MONTGOMERY,"MOULTON, H GEOFFREY JR",DEM,14.83%,"95,402"
409,MONTGOMERY,"STEDMAN, CRAIG",REP,9.61%,"61,846"
410,MONTGOMERY,"GIORDANO, EMIL",REP,9.90%,"63,681"
411,MONTGOMERY,"KAGARISE, WADE ALAN",REP,9.25%,"59,536"
412,MONTGOMERY,"MURRAY, MARY P",REP,9.77%,"62,863"
413,MONTGOMERY,"MERMELSTEIN, JULES",GRN,0.75%,"4,820"
414,MONTOUR,"MCLAUGHLIN, MARIA",DEM,11.44%,"1,187"
415,MONTOUR,"NICHOLS, CAROLYN H",DEM,9.18%,953
416,MONTOUR,"KUNSELMAN, DEBORAH ANNE",DEM,10.88%,"1,129"
417,MONTOUR,"MOULTON, H GEOFFREY JR",DEM,7.94%,824
418,MONTOUR,"STEDMAN, CRAIG",REP,14.88%,"1,544"
419,MONTOUR,"GIORDANO, EMIL",REP,14.24%,"1,478"
420,MONTOUR,"KAGARISE, WADE ALAN",REP,13.15%,"1,365"
421,MONTOUR,"MURRAY, MARY P",REP,16.23%,"1,684"
422,MONTOUR,"MERMELSTEIN, JULES",GRN,2.05%,213
423,NORTHAMPTON,"MCLAUGHLIN, MARIA",DEM,13.67%,"21,507"
424,NORTHAMPTON,"NICHOLS, CAROLYN H",DEM,12.14%,"19,105"
425,NORTHAMPTON,"KUNSELMAN, DEBORAH ANNE",DEM,13.30%,"20,919"
426,NORTHAMPTON,"MOULTON, H GEOFFREY JR",DEM,11.90%,"18,730"
427,NORTHAMPTON,"STEDMAN, CRAIG",REP,10.87%,"17,109"
428,NORTHAMPTON,"GIORDANO, EMIL",REP,15.35%,"24,147"
429,NORTHAMPTON,"KAGARISE, WADE ALAN",REP,10.26%,"16,150"
430,NORTHAMPTON,"MURRAY, MARY P",REP,11.54%,"18,160"
431,NORTHAMPTON,"MERMELSTEIN, JULES",GRN,0.96%,"1,508"
432,NORTHUMBERLAND,"MCLAUGHLIN, MARIA",DEM,11.61%,"5,441"
433,NORTHUMBERLAND,"NICHOLS, CAROLYN H",DEM,8.98%,"4,207"
434,NORTHUMBERLAND,"KUNSELMAN, DEBORAH ANNE",DEM,10.44%,"4,893"
435,NORTHUMBERLAND,"MOULTON, H GEOFFREY JR",DEM,7.61%,"3,568"
436,NORTHUMBERLAND,"STEDMAN, CRAIG",REP,15.09%,"7,070"
437,NORTHUMBERLAND,"GIORDANO, EMIL",REP,14.64%,"6,858"
438,NORTHUMBERLAND,"KAGARISE, WADE ALAN",REP,13.75%,"6,443"
439,NORTHUMBERLAND,"MURRAY, MARY P",REP,15.93%,"7,464"
440,NORTHUMBERLAND,"MERMELSTEIN, JULES",GRN,1.94%,911
441,PERRY,"MCLAUGHLIN, MARIA",DEM,7.49%,"2,042"
442,PERRY,"NICHOLS, CAROLYN H",DEM,6.13%,"1,672"
443,PERRY,"KUNSELMAN, DEBORAH ANNE",DEM,7.14%,"1,946"
444,PERRY,"MOULTON, H GEOFFREY JR",DEM,4.99%,"1,359"
445,PERRY,"STEDMAN, CRAIG",REP,19.42%,"5,294"
446,PERRY,"GIORDANO, EMIL",REP,16.60%,"4,525"
447,PERRY,"KAGARISE, WADE ALAN",REP,17.60%,"4,798"
448,PERRY,"MURRAY, MARY P",REP,18.77%,"5,115"
449,PERRY,"MERMELSTEIN, JULES",GRN,1.86%,507
450,PHILADELPHIA,"MCLAUGHLIN, MARIA",DEM,21.78%,"153,962"
451,PHILADELPHIA,"NICHOLS, CAROLYN H",DEM,21.26%,"150,273"
452,PHILADELPHIA,"KUNSELMAN, DEBORAH ANNE",DEM,20.37%,"143,975"
453,PHILADELPHIA,"MOULTON, H GEOFFREY JR",DEM,19.47%,"137,659"
454,PHILADELPHIA,"STEDMAN, CRAIG",REP,3.90%,"27,591"
455,PHILADELPHIA,"GIORDANO, EMIL",REP,4.31%,"30,478"
456,PHILADELPHIA,"KAGARISE, WADE ALAN",REP,3.52%,"24,870"
457,PHILADELPHIA,"MURRAY, MARY P",REP,4.13%,"29,171"
458,PHILADELPHIA,"MERMELSTEIN, JULES",GRN,1.27%,"8,992"
459,PIKE,"MCLAUGHLIN, MARIA",DEM,11.21%,"3,183"
460,PIKE,"NICHOLS, CAROLYN H",DEM,10.48%,"2,976"
461,PIKE,"KUNSELMAN, DEBORAH ANNE",DEM,10.67%,"3,029"
462,PIKE,"MOULTON, H GEOFFREY JR",DEM,9.79%,"2,779"
463,PIKE,"STEDMAN, CRAIG",REP,14.14%,"4,016"
464,PIKE,"GIORDANO, EMIL",REP,14.45%,"4,104"
465,PIKE,"KAGARISE, WADE ALAN",REP,13.42%,"3,812"
466,PIKE,"MURRAY, MARY P",REP,14.56%,"4,134"
467,PIKE,"MERMELSTEIN, JULES",GRN,1.29%,365
468,POTTER,"MCLAUGHLIN, MARIA",DEM,6.87%,824
469,POTTER,"NICHOLS, CAROLYN H",DEM,6.15%,738
470,POTTER,"KUNSELMAN, DEBORAH ANNE",DEM,6.59%,791
471,POTTER,"MOULTON, H GEOFFREY JR",DEM,5.24%,629
472,POTTER,"STEDMAN, CRAIG",REP,19.09%,"2,291"
473,POTTER,"GIORDANO, EMIL",REP,17.69%,"2,123"
474,POTTER,"KAGARISE, WADE ALAN",REP,17.55%,"2,106"
475,POTTER,"MURRAY, MARY P",REP,19.56%,"2,348"
476,POTTER,"MERMELSTEIN, JULES",GRN,1.27%,152
477,SCHUYLKILL,"MCLAUGHLIN, MARIA",DEM,12.12%,"11,469"
478,SCHUYLKILL,"NICHOLS, CAROLYN H",DEM,9.81%,"9,279"
479,SCHUYLKILL,"KUNSELMAN, DEBORAH ANNE",DEM,10.51%,"9,939"
480,SCHUYLKILL,"MOULTON, H GEOFFREY JR",DEM,8.19%,"7,747"
481,SCHUYLKILL,"STEDMAN, CRAIG",REP,15.04%,"14,225"
482,SCHUYLKILL,"GIORDANO, EMIL",REP,14.35%,"13,574"
483,SCHUYLKILL,"KAGARISE, WADE ALAN",REP,13.17%,"12,462"
484,SCHUYLKILL,"MURRAY, MARY P",REP,15.13%,"14,310"
485,SCHUYLKILL,"MERMELSTEIN, JULES",GRN,1.69%,"1,599"
486,SNYDER,"MCLAUGHLIN, MARIA",DEM,8.70%,"1,642"
487,SNYDER,"NICHOLS, CAROLYN H",DEM,7.17%,"1,353"
488,SNYDER,"KUNSELMAN, DEBORAH ANNE",DEM,8.02%,"1,513"
489,SNYDER,"MOULTON, H GEOFFREY JR",DEM,6.18%,"1,166"
490,SNYDER,"STEDMAN, CRAIG",REP,17.33%,"3,270"
491,SNYDER,"GIORDANO, EMIL",REP,16.48%,"3,109"
492,SNYDER,"KAGARISE, WADE ALAN",REP,16.15%,"3,047"
493,SNYDER,"MURRAY, MARY P",REP,18.03%,"3,403"
494,SNYDER,"MERMELSTEIN, JULES",GRN,1.94%,367
495,SOMERSET,"MCLAUGHLIN, MARIA",DEM,10.13%,"4,997"
496,SOMERSET,"NICHOLS, CAROLYN H",DEM,7.84%,"3,869"
497,SOMERSET,"KUNSELMAN, DEBORAH ANNE",DEM,9.29%,"4,584"
498,SOMERSET,"MOULTON, H GEOFFREY JR",DEM,6.55%,"3,232"
499,SOMERSET,"STEDMAN, CRAIG",REP,16.67%,"8,225"
500,SOMERSET,"GIORDANO, EMIL",REP,14.87%,"7,335"
501,SOMERSET,"KAGARISE, WADE ALAN",REP,15.39%,"7,594"
502,SOMERSET,"MURRAY, MARY P",REP,17.89%,"8,829"
503,SOMERSET,"MERMELSTEIN, JULES",GRN,1.36%,673
504,SULLIVAN,"MCLAUGHLIN, MARIA",DEM,9.77%,510
505,SULLIVAN,"NICHOLS, CAROLYN H",DEM,7.49%,391
506,SULLIVAN,"KUNSELMAN, DEBORAH ANNE",DEM,8.75%,457
507,SULLIVAN,"MOULTON, H GEOFFREY JR",DEM,6.22%,325
508,SULLIVAN,"STEDMAN, CRAIG",REP,16.36%,854
509,SULLIVAN,"GIORDANO, EMIL",REP,16.03%,837
510,SULLIVAN,"KAGARISE, WADE ALAN",REP,15.74%,822
511,SULLIVAN,"MURRAY, MARY P",REP,18.14%,947
512,SULLIVAN,"MERMELSTEIN, JULES",GRN,1.49%,78
513,SUSQUEHANNA,"MCLAUGHLIN, MARIA",DEM,9.01%,"2,318"
514,SUSQUEHANNA,"NICHOLS, CAROLYN H",DEM,7.64%,"1,965"
515,SUSQUEHANNA,"KUNSELMAN, DEBORAH ANNE",DEM,8.46%,"2,177"
516,SUSQUEHANNA,"MOULTON, H GEOFFREY JR",DEM,6.39%,"1,645"
517,SUSQUEHANNA,"STEDMAN, CRAIG",REP,16.38%,"4,216"
518,SUSQUEHANNA,"GIORDANO, EMIL",REP,16.65%,"4,286"
519,SUSQUEHANNA,"KAGARISE, WADE ALAN",REP,15.62%,"4,020"
520,SUSQUEHANNA,"MURRAY, MARY P",REP,17.74%,"4,565"
521,SUSQUEHANNA,"MERMELSTEIN, JULES",GRN,2.11%,544
522,TIOGA,"MCLAUGHLIN, MARIA",DEM,6.74%,"1,708"
523,TIOGA,"NICHOLS, CAROLYN H",DEM,6.10%,"1,546"
524,TIOGA,"KUNSELMAN, DEBORAH ANNE",DEM,6.23%,"1,579"
525,TIOGA,"MOULTON, H GEOFFREY JR",DEM,5.20%,"1,319"
526,TIOGA,"STEDMAN, CRAIG",REP,19.08%,"4,834"
527,TIOGA,"GIORDANO, EMIL",REP,17.76%,"4,501"
528,TIOGA,"KAGARISE, WADE ALAN",REP,17.68%,"4,481"
529,TIOGA,"MURRAY, MARY P",REP,19.78%,"5,013"
530,TIOGA,"MERMELSTEIN, JULES",GRN,1.42%,361
531,UNION,"MCLAUGHLIN, MARIA",DEM,10.47%,"2,499"
532,UNION,"NICHOLS, CAROLYN H",DEM,9.45%,"2,256"
533,UNION,"KUNSELMAN, DEBORAH ANNE",DEM,10.51%,"2,509"
534,UNION,"MOULTON, H GEOFFREY JR",DEM,8.93%,"2,131"
535,UNION,"STEDMAN, CRAIG",REP,15.22%,"3,635"
536,UNION,"GIORDANO, EMIL",REP,14.60%,"3,487"
537,UNION,"KAGARISE, WADE ALAN",REP,13.88%,"3,314"
538,UNION,"MURRAY, MARY P",REP,15.30%,"3,654"
539,UNION,"MERMELSTEIN, JULES",GRN,1.64%,391
540,VENANGO,"MCLAUGHLIN, MARIA",DEM,9.27%,"2,595"
541,VENANGO,"NICHOLS, CAROLYN H",DEM,7.83%,"2,192"
542,VENANGO,"KUNSELMAN, DEBORAH ANNE",DEM,9.70%,"2,715"
543,VENANGO,"MOULTON, H GEOFFREY JR",DEM,6.67%,"1,866"
544,VENANGO,"STEDMAN, CRAIG",REP,16.51%,"4,622"
545,VENANGO,"GIORDANO, EMIL",REP,15.50%,"4,338"
546,VENANGO,"KAGARISE, WADE ALAN",REP,15.05%,"4,212"
547,VENANGO,"MURRAY, MARY P",REP,17.53%,"4,908"
548,VENANGO,"MERMELSTEIN, JULES",GRN,1.95%,546
549,WARREN,"MCLAUGHLIN, MARIA",DEM,9.95%,"2,199"
550,WARREN,"NICHOLS, CAROLYN H",DEM,8.13%,"1,796"
551,WARREN,"KUNSELMAN, DEBORAH ANNE",DEM,9.59%,"2,119"
552,WARREN,"MOULTON, H GEOFFREY JR",DEM,7.15%,"1,579"
553,WARREN,"STEDMAN, CRAIG",REP,16.10%,"3,557"
554,WARREN,"GIORDANO, EMIL",REP,15.81%,"3,492"
555,WARREN,"KAGARISE, WADE ALAN",REP,14.98%,"3,309"
556,WARREN,"MURRAY, MARY P",REP,16.91%,"3,736"
557,WARREN,"MERMELSTEIN, JULES",GRN,1.38%,305
558,WASHINGTON,"MCLAUGHLIN, MARIA",DEM,13.44%,"16,552"
559,WASHINGTON,"NICHOLS, CAROLYN H",DEM,11.49%,"14,146"
560,WASHINGTON,"KUNSELMAN, DEBORAH ANNE",DEM,13.33%,"16,418"
561,WASHINGTON,"MOULTON, H GEOFFREY JR",DEM,10.07%,"12,400"
562,WASHINGTON,"STEDMAN, CRAIG",REP,13.04%,"16,058"
563,WASHINGTON,"GIORDANO, EMIL",REP,11.99%,"14,760"
564,WASHINGTON,"KAGARISE, WADE ALAN",REP,11.55%,"14,228"
565,WASHINGTON,"MURRAY, MARY P",REP,13.54%,"16,668"
566,WASHINGTON,"MERMELSTEIN, JULES",GRN,1.55%,"1,907"
567,WAYNE,"MCLAUGHLIN, MARIA",DEM,9.59%,"2,887"
568,WAYNE,"NICHOLS, CAROLYN H",DEM,8.01%,"2,411"
569,WAYNE,"KUNSELMAN, DEBORAH ANNE",DEM,8.84%,"2,660"
570,WAYNE,"MOULTON, H GEOFFREY JR",DEM,6.43%,"1,936"
571,WAYNE,"STEDMAN, CRAIG",REP,16.12%,"4,854"
572,WAYNE,"GIORDANO, EMIL",REP,16.29%,"4,903"
573,WAYNE,"KAGARISE, WADE ALAN",REP,14.89%,"4,481"
574,WAYNE,"MURRAY, MARY P",REP,17.60%,"5,298"
575,WAYNE,"MERMELSTEIN, JULES",GRN,2.24%,673
576,WESTMORELAND,"MCLAUGHLIN, MARIA",DEM,13.21%,"29,887"
577,WESTMORELAND,"NICHOLS, CAROLYN H",DEM,10.86%,"24,561"
578,WESTMORELAND,"KUNSELMAN, DEBORAH ANNE",DEM,12.54%,"28,357"
579,WESTMORELAND,"MOULTON, H GEOFFREY JR",DEM,9.72%,"21,983"
580,WESTMORELAND,"STEDMAN, CRAIG",REP,13.50%,"30,524"
581,WESTMORELAND,"GIORDANO, EMIL",REP,12.81%,"28,977"
582,WESTMORELAND,"KAGARISE, WADE ALAN",REP,12.18%,"27,544"
583,WESTMORELAND,"MURRAY, MARY P",REP,13.77%,"31,145"
584,WESTMORELAND,"MERMELSTEIN, JULES",GRN,1.41%,"3,187"
585,WYOMING,"MCLAUGHLIN, MARIA",DEM,9.91%,"1,872"
586,WYOMING,"NICHOLS, CAROLYN H",DEM,8.33%,"1,573"
587,WYOMING,"KUNSELMAN, DEBORAH ANNE",DEM,9.09%,"1,717"
588,WYOMING,"MOULTON, H GEOFFREY JR",DEM,6.65%,"1,256"
589,WYOMING,"STEDMAN, CRAIG",REP,15.77%,"2,978"
590,WYOMING,"GIORDANO, EMIL",REP,16.15%,"3,049"
591,WYOMING,"KAGARISE, WADE ALAN",REP,14.61%,"2,759"
592,WYOMING,"MURRAY, MARY P",REP,17.10%,"3,229"
593,WYOMING,"MERMELSTEIN, JULES",GRN,2.39%,451
594,YORK,"MCLAUGHLIN, MARIA",DEM,10.31%,"21,942"
595,YORK,"NICHOLS, CAROLYN H",DEM,9.01%,"19,172"
596,YORK,"KUNSELMAN, DEBORAH ANNE",DEM,9.94%,"21,154"
597,YORK,"MOULTON, H GEOFFREY JR",DEM,7.89%,"16,777"
598,YORK,"STEDMAN, CRAIG",REP,16.96%,"36,077"
599,YORK,"GIORDANO, EMIL",REP,14.64%,"31,140"
600,YORK,"KAGARISE, WADE ALAN",REP,14.45%,"30,746"
601,YORK,"MURRAY, MARY P",REP,15.27%,"32,491"
602,YORK,"MERMELSTEIN, JULES",GRN,1.52%,"3,233"
